ID_Transaccion,Fecha,Dia_Semana,Producto,Categoria,Canal_Venta,Cantidad,Precio_Unitario,Ventas_Soles,Costo_Soles,Utilidad_Soles
TX-1001,2026-08-01,Saturday,Inca Kola 1.5L,Bebidas,Tienda Física,5,7.5,37.5,24.0,13.5
TX-1002,2026-08-01,Saturday,Pollo Entero kg,Carnes/Frescos,WhatsApp,5,9.8,49.0,34.5,14.5
TX-1003,2026-08-01,Saturday,Aceite Primor 1L,Abarrotes,Tienda Física,3,11.5,34.5,25.5,9.0
TX-1004,2026-08-01,Saturday,Leche Gloria 400g,Lácteos,WhatsApp,5,4.2,21.0,15.5,5.5
TX-1005,2026-08-01,Saturday,Pollo Entero kg,Carnes/Frescos,Tienda Física,3,9.8,29.4,20.7,8.7
TX-1006,2026-08-01,Saturday,Aceite Primor 1L,Abarrotes,Delivery / App,4,11.5,46.0,34.0,12.0
TX-1007,2026-08-01,Saturday,Aceite Primor 1L,Abarrotes,Tienda Física,4,11.5,46.0,34.0,12.0
TX-1008,2026-08-01,Saturday,Inca Kola 1.5L,Bebidas,Tienda Física,2,7.5,15.0,9.6,5.4
TX-1009,2026-08-01,Saturday,Inca Kola 1.5L,Bebidas,Tienda Física,1,7.5,7.5,4.8,2.7
TX-1010,2026-08-01,Saturday,Leche Gloria 400g,Lácteos,Tienda Física,2,4.2,8.4,6.2,2.2
TX-1011,2026-08-01,Saturday,Inca Kola 1.5L,Bebidas,Tienda Física,3,7.5,22.5,14.4,8.1
TX-1012,2026-08-01,Saturday,Inca Kola 1.5L,Bebidas,Tienda Física,1,7.5,7.5,4.8,2.7
TX-1013,2026-08-01,Saturday,Leche Gloria 400g,Lácteos,Tienda Física,5,4.2,21.0,15.5,5.5
TX-1014,2026-08-01,Saturday,Aceite Primor 1L,Abarrotes,Delivery / App,4,11.5,46.0,34.0,12.0
TX-1015,2026-08-01,Saturday,Detergente Opal 1kg,Limpieza,Tienda Física,2,12.0,24.0,16.4,7.6
TX-1016,2026-08-01,Saturday,Aceite Primor 1L,Abarrotes,Tienda Física,5,11.5,57.5,42.5,15.0
TX-1017,2026-08-01,Saturday,Inca Kola 1.5L,Bebidas,Tienda Física,4,7.5,30.0,19.2,10.8
TX-1018,2026-08-01,Saturday,Cerveza Cusqueña 6pack,Bebidas,Delivery / App,3,34.0,102.0,72.0,30.0
TX-1019,2026-08-01,Saturday,Inca Kola 1.5L,Bebidas,WhatsApp,2,7.5,15.0,9.6,5.4
TX-1020,2026-08-01,Saturday,Aceite Primor 1L,Abarrotes,WhatsApp,2,11.5,23.0,17.0,6.0
TX-1021,2026-08-01,Saturday,Cerveza Cusqueña 6pack,Bebidas,Yape / Plin,2,34.0,68.0,48.0,20.0
TX-1022,2026-08-01,Saturday,Aceite Primor 1L,Abarrotes,Yape / Plin,2,11.5,23.0,17.0,6.0
TX-1023,2026-08-01,Saturday,Detergente Opal 1kg,Limpieza,Tienda Física,4,12.0,48.0,32.8,15.2
TX-1024,2026-08-01,Saturday,Pollo Entero kg,Carnes/Frescos,Tienda Física,5,9.8,49.0,34.5,14.5
TX-1025,2026-08-01,Saturday,Aceite Primor 1L,Abarrotes,WhatsApp,5,11.5,57.5,42.5,15.0
TX-1026,2026-08-01,Saturday,Arroz Costeño 5kg,Abarrotes,WhatsApp,4,24.5,98.0,72.0,26.0
TX-1027,2026-08-01,Saturday,Cerveza Cusqueña 6pack,Bebidas,Tienda Física,1,34.0,34.0,24.0,10.0
TX-1028,2026-08-01,Saturday,Cerveza Cusqueña 6pack,Bebidas,Tienda Física,1,34.0,34.0,24.0,10.0
